task_id,category,method,fault_intensity,seed,success,recovered,silent_failure,failure_detected,failure_signal,failure_class,actual_faults,tool_calls,model_calls,verifier_calls,recovery_steps,latency_ms,cost_proxy,escalated,final_answer
retrieval_001,retrieval_evidence,static_workflow,0.0,1,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.0,2,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.0,3,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.1,1,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.1,2,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.1,3,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.2,1,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.2,2,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.2,3,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.3,1,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.3,2,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.3,3,False,False,False,True,timeout,,timeout,1,0,0,0,5000,1,False,
retrieval_001,retrieval_evidence,static_workflow,0.4,1,False,False,False,True,stale_context,,stale_context,1,0,0,0,80,1,False,Outdated policy: Product A support is 6 months.
retrieval_001,retrieval_evidence,static_workflow,0.4,2,False,False,False,True,malformed_output,,malformed_output,1,0,0,0,80,1,False,"{bad_json: missing_quotes, broken"
retrieval_001,retrieval_evidence,static_workflow,0.4,3,False,False,False,True,stale_context,,stale_context,1,0,0,0,80,1,False,Outdated policy: Product A support is 6 months.
retrieval_001,retrieval_evidence,static_workflow,0.5,1,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.5,2,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,static_workflow,0.5,3,False,False,False,True,malformed_output,,malformed_output,1,0,0,0,80,1,False,"{bad_json: missing_quotes, broken"
retrieval_001,retrieval_evidence,retry_only,0.0,1,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
retrieval_001,retrieval_evidence,retry_only,0.0,2,True,False,False,False,,,,1,0,0,0,80,1,False,Product A has standard support for 12 months.
