actual_fault_type,method,num_fault_cases,success_rate,recovery_rate,silent_failure_rate,avg_recovery_steps,avg_tool_calls,avg_model_calls,avg_verifier_calls,avg_latency_ms,avg_cost_proxy
contradictory_evidence,full_replanning,35,0.6857142857142857,0.6857142857142857,0.0,1.9428571428571428,3.7714285714285714,2.6285714285714286,0.0,261.7142857142857,6.4
contradictory_evidence,react_style,39,0.7948717948717948,0.7948717948717948,0.0,1.9230769230769231,4.076923076923077,2.717948717948718,0.0,279.1025641025641,6.794871794871795
contradictory_evidence,retry_only,35,0.8571428571428571,0.8571428571428571,0.0,1.6571428571428573,3.914285714285714,0.0,0.0,263.7142857142857,3.914285714285714
contradictory_evidence,self_healing,31,1.0,1.0,0.0,1.3548387096774193,3.870967741935484,0.0,1.0,254.3548387096774,4.870967741935484
contradictory_evidence,static_workflow,18,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80.0,1.0
malformed_output,full_replanning,135,0.7111111111111111,0.7111111111111111,0.0,1.9481481481481482,3.5925925925925926,2.6592592592592594,0.0,1252.037037037037,6.2518518518518515
malformed_output,react_style,122,0.8114754098360656,0.8114754098360656,0.0,1.7131147540983607,3.459016393442623,2.5245901639344264,0.0,955.7377049180328,5.983606557377049
malformed_output,retry_only,141,0.6879432624113475,0.6879432624113475,0.0,1.929078014184397,3.368794326241135,0.0,0.0,1191.6666666666667,3.368794326241135
malformed_output,self_healing,109,0.981651376146789,0.981651376146789,0.0,1.3211009174311927,3.5137614678899083,0.0,1.0,584.5412844036697,4.513761467889908
malformed_output,static_workflow,102,0.0,0.0,0.0,0.0,1.303921568627451,0.0,0.0,66.17647058823529,1.303921568627451
partial_response,full_replanning,144,0.6111111111111112,0.6111111111111112,0.0,2.0416666666666665,3.3958333333333335,2.6527777777777777,0.0,1182.9166666666667,6.048611111111111
partial_response,react_style,203,0.6108374384236454,0.6108374384236454,0.0,2.039408866995074,3.4679802955665027,2.6502463054187193,0.0,1216.1330049261085,6.1182266009852215
partial_response,retry_only,178,0.5898876404494382,0.5898876404494382,0.0,2.1235955056179776,3.4887640449438204,0.0,0.0,1557.808988764045,3.4887640449438204
partial_response,self_healing,146,0.8972602739726028,0.8972602739726028,0.0,1.5410958904109588,3.5821917808219177,0.0,1.0,1178.3219178082193,4.582191780821918
partial_response,static_workflow,97,0.0,0.0,0.0,0.0,1.175257731958763,0.0,0.0,66.1340206185567,1.175257731958763
schema_drift,full_replanning,145,0.6275862068965518,0.6275862068965518,0.0,2.027586206896552,3.9517241379310346,2.6551724137931036,0.0,1567.6206896551723,6.606896551724138
schema_drift,react_style,131,0.4961832061068702,0.4961832061068702,0.0,2.2213740458015265,3.877862595419847,2.717557251908397,0.0,1485.9160305343512,6.595419847328245
schema_drift,retry_only,161,0.6273291925465838,0.6273291925465838,0.0,1.9937888198757765,3.869565217391304,0.0,0.0,1268.9130434782608,3.869565217391304
schema_drift,self_healing,134,0.8955223880597015,0.8955223880597015,0.0,1.626865671641791,4.223880597014926,0.0,1.0,1441.4925373134329,5.223880597014926
schema_drift,static_workflow,98,0.0,0.0,0.0,0.0,1.4795918367346939,0.0,0.0,59.89795918367347,1.4795918367346939
stale_context,full_replanning,65,0.6461538461538462,0.6461538461538462,0.0,1.9230769230769231,3.1538461538461537,2.5692307692307694,0.0,838.0769230769231,5.723076923076923
stale_context,react_style,63,0.7936507936507936,0.7936507936507936,0.0,1.7301587301587302,3.2698412698412698,2.5238095238095237,0.0,938.4126984126984,5.7936507936507935
stale_context,retry_only,67,0.7313432835820896,0.7313432835820896,0.0,1.8208955223880596,3.1492537313432836,0.0,0.0,378.65671641791045,3.1492537313432836
stale_context,self_healing,55,1.0,1.0,0.0,1.2363636363636363,3.0727272727272728,0.0,1.0,484.72727272727275,4.072727272727272
stale_context,static_workflow,58,0.0,0.0,0.0,0.0,1.0,0.0,0.0,80.0,1.0
timeout,full_replanning,189,0.5291005291005291,0.5291005291005291,0.0,2.1904761904761907,4.026455026455026,2.7195767195767195,0.0,7024.523809523809,6.746031746031746
timeout,react_style,170,0.5529411764705883,0.5529411764705883,0.0,2.1058823529411765,3.6882352941176473,2.6588235294117646,0.0,6583.088235294118,6.347058823529411
timeout,retry_only,175,0.6285714285714286,0.6285714285714286,0.0,1.9542857142857142,3.5142857142857142,0.0,0.0,5967.085714285714,3.5142857142857142
timeout,self_healing,140,0.7928571428571428,0.7928571428571428,0.0,2.007142857142857,4.378571428571429,0.0,1.0,6917.964285714285,5.378571428571429
timeout,static_workflow,115,0.0,0.0,0.0,0.0,1.3217391304347825,0.0,0.0,5010.304347826087,1.3217391304347825
unavailable_tool,full_replanning,109,0.44036697247706424,0.44036697247706424,0.0,2.311926605504587,4.6422018348623855,2.7522935779816513,0.0,2297.935779816514,7.394495412844036
unavailable_tool,react_style,108,0.5092592592592593,0.5092592592592593,0.0,2.2222222222222223,4.388888888888889,2.7314814814814814,0.0,1712.1759259259259,7.12037037037037
unavailable_tool,retry_only,90,0.6444444444444445,0.6444444444444445,0.0,2.0444444444444443,4.388888888888889,0.0,0.0,1357.9444444444443,4.388888888888889
unavailable_tool,self_healing,97,0.7525773195876289,0.7525773195876289,0.0,2.1443298969072164,5.22680412371134,0.0,1.0,2532.783505154639,6.22680412371134
unavailable_tool,static_workflow,51,0.0,0.0,0.0,0.0,1.6470588235294117,0.0,0.0,69.31372549019608,1.6470588235294117
